"Date","Time","Quantity","Units","Service","Meter","Account"
3/24/2020,11:59 PM,10.369999999999,"kWh","Electricity","578386","8771398385"
3/25/2020,11:59 PM,8.6929999999993,"kWh","Electricity","578386","8771398385"
3/26/2020,11:59 PM,8.81500000000233,"kWh","Electricity","578386","8771398385"
3/27/2020,11:59 PM,12.2089999999989,"kWh","Electricity","578386","8771398385"
3/28/2020,11:59 PM,12.8230000000003,"kWh","Electricity","578386","8771398385"
3/29/2020,11:59 PM,11.2669999999998,"kWh","Electricity","578386","8771398385"
3/30/2020,11:59 PM,11.0570000000007,"kWh","Electricity","578386","8771398385"
3/31/2020,11:59 PM,10.9120000000003,"kWh","Electricity","578386","8771398385"
4/1/2020,11:59 PM,10.2029999999977,"kWh","Electricity","578386","8771398385"
4/2/2020,11:59 PM,15.2680000000037,"kWh","Electricity","578386","8771398385"
4/3/2020,11:59 PM,29.1169999999984,"kWh","Electricity","578386","8771398385"
4/4/2020,11:59 PM,14.0730000000003,"kWh","Electricity","578386","8771398385"
4/5/2020,11:59 PM,8.72499999999854,"kWh","Electricity","578386","8771398385"
4/6/2020,11:59 PM,5.52900000000227,"kWh","Electricity","578386","8771398385"
4/7/2020,11:59 PM,7.91600000000108,"kWh","Electricity","578386","8771398385"
4/8/2020,11:59 PM,9.05399999999645,"kWh","Electricity","578386","8771398385"
4/9/2020,11:59 PM,12.1500000000015,"kWh","Electricity","578386","8771398385"
4/10/2020,11:59 PM,17.9399999999987,"kWh","Electricity","578386","8771398385"
4/11/2020,11:59 PM,29.9099999999999,"kWh","Electricity","578386","8771398385"
4/12/2020,10:15 PM,22.0970000000016,"kWh","Electricity","578386","8771398385"
4/13/2020,11:59 PM,22.1219999999994,"kWh","Electricity","578386","8771398385"
4/14/2020,11:59 PM,21.1029999999992,"kWh","Electricity","578386","8771398385"
4/15/2020,11:59 PM,15.0169999999998,"kWh","Electricity","578386","8771398385"
4/16/2020,11:59 PM,18.0950000000012,"kWh","Electricity","578386","8771398385"
4/17/2020,11:59 PM,13.8050000000003,"kWh","Electricity","578386","8771398385"
4/18/2020,11:59 PM,10.4470000000001,"kWh","Electricity","578386","8771398385"
4/19/2020,11:59 PM,8.06899999999951,"kWh","Electricity","578386","8771398385"
4/20/2020,11:59 PM,8.01300000000265,"kWh","Electricity","578386","8771398385"
4/21/2020,11:59 PM,9.76899999999659,"kWh","Electricity","578386","8771398385"
4/22/2020,11:59 PM,11.5839999999989,"kWh","Electricity","578386","8771398385"
4/23/2020,11:59 PM,10.8260000000009,"kWh","Electricity","578386","8771398385"
4/24/2020,11:59 PM,17.7380000000012,"kWh","Electricity","578386","8771398385"
4/25/2020,11:59 PM,18.2839999999997,"kWh","Electricity","578386","8771398385"
4/26/2020,11:59 PM,12.3770000000004,"kWh","Electricity","578386","8771398385"
4/27/2020,11:59 PM,11.625,"kWh","Electricity","578386","8771398385"
4/28/2020,11:59 PM,12.3990000000013,"kWh","Electricity","578386","8771398385"
4/29/2020,11:59 PM,6.48500000000058,"kWh","Electricity","578386","8771398385"
4/30/2020,11:59 PM,7.06899999999951,"kWh","Electricity","578386","8771398385"
5/1/2020,11:59 PM,9.26399999999921,"kWh","Electricity","578386","8771398385"
5/2/2020,11:59 PM,6.54200000000128,"kWh","Electricity","578386","8771398385"
5/3/2020,11:59 PM,7.44399999999951,"kWh","Electricity","578386","8771398385"
5/4/2020,11:59 PM,6.99099999999817,"kWh","Electricity","578386","8771398385"
5/5/2020,11:59 PM,6.50300000000061,"kWh","Electricity","578386","8771398385"
5/6/2020,11:59 PM,7.44499999999971,"kWh","Electricity","578386","8771398385"
5/7/2020,11:59 PM,13.5020000000004,"kWh","Electricity","578386","8771398385"
5/8/2020,11:59 PM,14.5430000000015,"kWh","Electricity","578386","8771398385"
5/9/2020,11:59 PM,11.6399999999994,"kWh","Electricity","578386","8771398385"
5/10/2020,11:59 PM,13.4599999999991,"kWh","Electricity","578386","8771398385"
5/11/2020,11:59 PM,12.3640000000014,"kWh","Electricity","578386","8771398385"
5/12/2020,11:59 PM,21.6729999999989,"kWh","Electricity","578386","8771398385"
5/13/2020,11:59 PM,13.1949999999997,"kWh","Electricity","578386","8771398385"
5/14/2020,11:59 PM,19.6589999999997,"kWh","Electricity","578386","8771398385"
5/15/2020,11:59 PM,31.7099999999991,"kWh","Electricity","578386","8771398385"
5/16/2020,11:59 PM,11.6860000000015,"kWh","Electricity","578386","8771398385"
5/17/2020,11:59 PM,23.8529999999992,"kWh","Electricity","578386","8771398385"
5/18/2020,11:59 PM,14.6589999999997,"kWh","Electricity","578386","8771398385"
5/19/2020,11:59 PM,20.5030000000006,"kWh","Electricity","578386","8771398385"
5/20/2020,11:59 PM,22.3120000000017,"kWh","Electricity","578386","8771398385"
5/21/2020,11:59 PM,18.601999999999,"kWh","Electricity","578386","8771398385"
5/22/2020,11:59 PM,14.0989999999983,"kWh","Electricity","578386","8771398385"
5/23/2020,11:59 PM,12.9710000000014,"kWh","Electricity","578386","8771398385"
5/24/2020,11:59 PM,15.2180000000008,"kWh","Electricity","578386","8771398385"
5/25/2020,11:59 PM,14.6809999999969,"kWh","Electricity","578386","8771398385"
5/26/2020,11:59 PM,23.4530000000013,"kWh","Electricity","578386","8771398385"
5/27/2020,11:59 PM,21.0840000000026,"kWh","Electricity","578386","8771398385"
5/28/2020,11:59 PM,25.9369999999981,"kWh","Electricity","578386","8771398385"
5/29/2020,11:59 PM,9.02100000000064,"kWh","Electricity","578386","8771398385"
5/30/2020,11:59 PM,8.64700000000084,"kWh","Electricity","578386","8771398385"
5/31/2020,11:59 PM,7.40399999999863,"kWh","Electricity","578386","8771398385"
6/1/2020,11:59 PM,5.21900000000096,"kWh","Electricity","578386","8771398385"
6/2/2020,11:59 PM,5.47499999999854,"kWh","Electricity","578386","8771398385"
6/3/2020,11:59 PM,5.65300000000207,"kWh","Electricity","578386","8771398385"
